customer_id,product_id,order_line,order_id,order-date,ship_date,ship_mode,Sales,Quantity,Discount,Profit,category,sub_category,product_name,customer_name,Segment,Age,Country,City,State,postal_code,Region
ZD-21925,OFF-BI-10002215,21,CA-2014-143336,2014-08-27,2014-09-01,Second Class,22.72,4,0.2,7.384,Office Supplies,Binders,Wilson Jones Hanging View Binder  White  1,Zuschuss Donatelli,Consumer,66,United States,San Francisco,California,94109,West
KB-16585,OFF-AR-10000246,22,CA-2016-137330,2016-12-09,2016-12-13,Standard Class,19.46,7,0.0,5.0596,Office Supplies,Art,Newell 318,Ken Black,Corporate,67,United States,Fremont,Nebraska,68025,Central
KB-16585,OFF-AP-10001492,23,CA-2016-137330,2016-12-09,2016-12-13,Standard Class,60.34,7,0.0,15.6884,Office Supplies,Appliances,Acco Six-Outlet Power Strip  4 Cord Length,Ken Black,Corporate,67,United States,Fremont,Nebraska,68025,Central
SF-20065,FUR-CH-10002774,24,US-2017-156909,2017-07-16,2017-07-18,Second Class,71.372,2,0.3,-1.0196,Furniture,Chairs,Global Deluxe Stacking Chair  Gray,Sandra Flanagan,Consumer,41,United States,Philadelphia,Pennsylvania,19140,East
EB-13870,FUR-TA-10000577,25,CA-2015-106320,2015-09-25,2015-09-30,Standard Class,1044.63,3,0.0,240.2649,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,Emily Burns,Consumer,34,United States,Orem,Utah,84057,West
EH-13945,OFF-BI-10001634,26,CA-2016-121755,2016-01-16,2016-01-20,Second Class,11.648,2,0.2,4.2224,Office Supplies,Binders,Wilson Jones Active Use Binders,Eric Hoffmann,Consumer,21,United States,Los Angeles,California,90049,West
EH-13945,TEC-AC-10003027,27,CA-2016-121755,2016-01-16,2016-01-20,Second Class,90.57,3,0.0,11.7741,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,Eric Hoffmann,Consumer,21,United States,Los Angeles,California,90049,West
TB-21520,FUR-BO-10004834,28,US-2015-150630,2015-09-17,2015-09-21,Standard Class,3083.43,7,0.5,-1665.0522,Furniture,Bookcases,Riverside Palais Royal Lawyers Bookcase  Royale Cherry Finish,Tracy Blumstein,Consumer,48,United States,Philadelphia,Pennsylvania,19140,East
TB-21520,OFF-BI-10000474,29,US-2015-150630,2015-09-17,2015-09-21,Standard Class,9.618,2,0.7,-7.0532,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,Tracy Blumstein,Consumer,48,United States,Philadelphia,Pennsylvania,19140,East
TB-21520,FUR-FU-10004848,30,US-2015-150630,2015-09-17,2015-09-21,Standard Class,124.2,3,0.2,15.525,Furniture,Furnishings,Howard Miller 13-3/4 Diameter Brushed Chrome Round Wall Clock,Tracy Blumstein,Consumer,48,United States,Philadelphia,Pennsylvania,19140,East
TB-21520,OFF-EN-10001509,31,US-2015-150630,2015-09-17,2015-09-21,Standard Class,3.264,2,0.2,1.1016,Office Supplies,Envelopes,Poly String Tie Envelopes,Tracy Blumstein,Consumer,48,United States,Philadelphia,Pennsylvania,19140,East
TB-21520,OFF-AR-10004042,32,US-2015-150630,2015-09-17,2015-09-21,Standard Class,86.304,6,0.2,9.7092,Office Supplies,Art,BOSTON Model 1800 Electric Pencil Sharpeners  Putty/Woodgrain,Tracy Blumstein,Consumer,48,United States,Philadelphia,Pennsylvania,19140,East
TB-21520,OFF-BI-10001525,33,US-2015-150630,2015-09-17,2015-09-21,Standard Class,6.858,6,0.7,-5.715,Office Supplies,Binders,Acco Pressboard Covers with Storage Hooks  14 7/8 x 11  Executive Red,Tracy Blumstein,Consumer,48,United States,Philadelphia,Pennsylvania,19140,East
TB-21520,OFF-AR-10001683,34,US-2015-150630,2015-09-17,2015-09-21,Standard Class,15.76,2,0.2,3.546,Office Supplies,Art,Lumber Crayons,Tracy Blumstein,Consumer,48,United States,Philadelphia,Pennsylvania,19140,East
MA-17560,OFF-PA-10000249,35,CA-2017-107727,2017-10-19,2017-10-23,Second Class,29.472,3,0.2,9.9468,Office Supplies,Paper,Easy-staple paper,Matt Abelman,Home Office,19,United States,Houston,Texas,77095,Central
GH-14485,TEC-PH-10004977,36,CA-2016-117590,2016-12-08,2016-12-10,First Class,1097.544,7,0.2,123.4737,Technology,Phones,GE 30524EE4,Gene Hale,Corporate,28,United States,Richardson,Texas,75080,Central
GH-14485,FUR-FU-10003664,37,CA-2016-117590,2016-12-08,2016-12-10,First Class,190.92,5,0.6,-147.963,Furniture,Furnishings,Electrix Architects Clamp-On Swing Arm Lamp  Black,Gene Hale,Corporate,28,United States,Richardson,Texas,75080,Central
SN-20710,OFF-EN-10002986,38,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,113.328,9,0.2,35.415,Office Supplies,Envelopes,#10-4 1/8 x 9 1/2 Premium Diagonal Seam Envelopes,Steve Nguyen,Home Office,46,United States,Houston,Texas,77041,Central
SN-20710,FUR-BO-10002545,39,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,532.3992,3,0.32,-46.9764,Furniture,Bookcases,Atlantic Metals Mobile 3-Shelf Bookcases  Custom Colors,Steve Nguyen,Home Office,46,United States,Houston,Texas,77041,Central
SN-20710,FUR-CH-10004218,40,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,212.058,3,0.3,-15.147,Furniture,Chairs,Global Fabric Managers Chair  Dark Gray,Steve Nguyen,Home Office,46,United States,Houston,Texas,77041,Central
SN-20710,TEC-PH-10000486,41,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,371.168,4,0.2,41.7564,Technology,Phones,Plantronics HL10 Handset Lifter,Steve Nguyen,Home Office,46,United States,Houston,Texas,77041,Central
LC-16930,TEC-PH-10004093,42,CA-2017-120999,2017-09-10,2017-09-15,Standard Class,147.168,4,0.2,16.5564,Technology,Phones,Panasonic Kx-TS550,Linda Cazamias,Corporate,31,United States,Naperville,Illinois,60540,Central
RA-19885,OFF-ST-10003479,43,CA-2016-101343,2016-07-17,2016-07-22,Standard Class,77.88,2,0.0,3.894,Office Supplies,Storage,Eldon Base for stackable storage shelf  platinum,Ruben Ausman,Corporate,51,United States,Los Angeles,California,90049,West
ES-14080,OFF-ST-10003282,44,CA-2017-139619,2017-09-19,2017-09-23,Standard Class,95.616,2,0.2,9.5616,Office Supplies,Storage,Advantus 10-Drawer Portable Organizer  Chrome Metal Frame  Smoke Drawers,Erin Smith,Corporate,20,United States,Melbourne,Florida,32935,South
ON-18715,TEC-AC-10000171,45,CA-2016-118255,2016-03-11,2016-03-13,First Class,45.98,2,0.0,19.7714,Technology,Accessories,Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc  25/Pack,Odella Nelson,Corporate,27,United States,Eagan,Minnesota,55122,Central
ON-18715,OFF-BI-10003291,46,CA-2016-118255,2016-03-11,2016-03-13,First Class,17.46,2,0.0,8.2062,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,Odella Nelson,Corporate,27,United States,Eagan,Minnesota,55122,Central
PO-18865,OFF-ST-10001713,47,CA-2014-146703,2014-10-20,2014-10-25,Second Class,211.96,4,0.0,8.4784,Office Supplies,Storage,Gould Plastics 9-Pocket Panel Bin  18-3/8w x 5-1/4d x 20-1/2h  Black,Patrick O'Donnell,Consumer,64,United States,Westland,Michigan,48185,Central
LH-16900,TEC-AC-10002167,48,CA-2016-169194,2016-06-20,2016-06-25,Standard Class,45.0,3,0.0,4.95,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Lena Hernandez,Consumer,66,United States,Dover,Delaware,19901,East
LH-16900,TEC-PH-10003988,49,CA-2016-169194,2016-06-20,2016-06-25,Standard Class,21.8,2,0.0,6.104,Technology,Phones,LF Elite 3D Dazzle Designer Hard Case Cover  Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite,Lena Hernandez,Consumer,66,United States,Dover,Delaware,19901,East
DP-13000,OFF-BI-10004410,50,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,38.22,6,0.0,17.9634,Office Supplies,Binders,C-Line Peel & Stick Add-On Filing Pockets  8-3/4 x 5-1/8  10/Pack,Darren Powers,Consumer,40,United States,New Albany,Indiana,47150,Central
DP-13000,OFF-LA-10002762,51,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,75.18,6,0.0,35.3346,Office Supplies,Labels,Avery 485,Darren Powers,Consumer,40,United States,New Albany,Indiana,47150,Central
DP-13000,FUR-FU-10001706,52,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,6.16,2,0.0,2.9568,Furniture,Furnishings,Longer-Life Soft White Bulbs,Darren Powers,Consumer,40,United States,New Albany,Indiana,47150,Central
DP-13000,FUR-CH-10003061,53,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,89.99,1,0.0,17.0981,Furniture,Chairs,Global Leather Task Chair  Black,Darren Powers,Consumer,40,United States,New Albany,Indiana,47150,Central
JM-15265,OFF-FA-10000304,54,CA-2016-105816,2016-12-11,2016-12-17,Standard Class,15.26,7,0.0,6.2566,Office Supplies,Fasteners,Advantus Push Pins,Janet Molinari,Corporate,23,United States,New York City,New York,10024,East
JM-15265,TEC-PH-10002447,55,CA-2016-105816,2016-12-11,2016-12-17,Standard Class,1029.95,5,0.0,298.6855,Technology,Phones,AT&T CL83451 4-Handset Telephone,Janet Molinari,Corporate,23,United States,New York City,New York,10024,East
TB-21055,OFF-ST-10000604,56,CA-2016-111682,2016-06-17,2016-06-18,First Class,208.56,6,0.0,52.14,Office Supplies,Storage,Home/Office Personal File Carts,Ted Butterfield,Consumer,34,United States,Troy,New York,12180,East
TB-21055,OFF-PA-10001569,57,CA-2016-111682,2016-06-17,2016-06-18,First Class,32.4,5,0.0,15.552,Office Supplies,Paper,Xerox 232,Ted Butterfield,Consumer,34,United States,Troy,New York,12180,East
TB-21055,FUR-CH-10003968,58,CA-2016-111682,2016-06-17,2016-06-18,First Class,319.41,5,0.1,7.098,Furniture,Chairs,Novimex Turbo Task Chair,Ted Butterfield,Consumer,34,United States,Troy,New York,12180,East
TB-21055,OFF-PA-10000587,59,CA-2016-111682,2016-06-17,2016-06-18,First Class,14.56,2,0.0,6.9888,Office Supplies,Paper,Array Parchment Paper  Assorted Colors,Ted Butterfield,Consumer,34,United States,Troy,New York,12180,East
TB-21055,TEC-AC-10002167,60,CA-2016-111682,2016-06-17,2016-06-18,First Class,30.0,2,0.0,3.3,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Ted Butterfield,Consumer,34,United States,Troy,New York,12180,East
TB-21055,OFF-BI-10001460,61,CA-2016-111682,2016-06-17,2016-06-18,First Class,48.48,4,0.2,16.362,Office Supplies,Binders,Plastic Binding Combs,Ted Butterfield,Consumer,34,United States,Troy,New York,12180,East
TB-21055,OFF-AR-10001868,62,CA-2016-111682,2016-06-17,2016-06-18,First Class,1.68,1,0.0,0.84,Office Supplies,Art,Prang Dustless Chalk Sticks,Ted Butterfield,Consumer,34,United States,Troy,New York,12180,East
KM-16720,TEC-AC-10004633,63,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,13.98,2,0.0,6.1512,Technology,Accessories,Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc  3/Pack,Kunst Miller,Consumer,69,United States,Los Angeles,California,90004,West
KM-16720,OFF-BI-10001078,64,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,25.824,6,0.2,9.3612,Office Supplies,Binders,Acco PRESSTEX Data Binder with Storage Hooks  Dark Blue  14 7/8 X 11,Kunst Miller,Consumer,69,United States,Los Angeles,California,90004,West
KM-16720,OFF-PA-10003892,65,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,146.73,3,0.0,68.9631,Office Supplies,Paper,Xerox 1943,Kunst Miller,Consumer,69,United States,Los Angeles,California,90004,West
KM-16720,FUR-FU-10000397,66,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,79.76,4,0.0,22.3328,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,Kunst Miller,Consumer,69,United States,Los Angeles,California,90004,West
PS-18970,FUR-CH-10001146,67,US-2015-164175,2015-04-30,2015-05-05,Standard Class,213.115,5,0.3,-15.2225,Furniture,Chairs,Global Value Mid-Back Managers Chair  Gray,Paul Stevenson,Home Office,31,United States,Chicago,Illinois,60610,Central
BS-11590,OFF-AR-10002671,68,CA-2014-106376,2014-12-05,2014-12-10,Standard Class,1113.024,8,0.2,111.3024,Office Supplies,Art,Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener  Beige,Brendan Sweed,Corporate,45,United States,Gilbert,Arizona,85234,West
BS-11590,TEC-PH-10002726,69,CA-2014-106376,2014-12-05,2014-12-10,Standard Class,167.968,4,0.2,62.988,Technology,Phones,netTALK DUO VoIP Telephone Service,Brendan Sweed,Corporate,45,United States,Gilbert,Arizona,85234,West
KD-16270,OFF-PA-10000482,70,CA-2016-119823,2016-06-04,2016-06-06,First Class,75.88,2,0.0,35.6636,Office Supplies,Paper,Snap-A-Way Black Print Carbonless Ruled Speed Letter  Triplicate,Karen Daniels,Consumer,59,United States,Springfield,Virginia,22153,South
HM-14980,OFF-BI-10004654,71,CA-2016-106075,2016-09-18,2016-09-23,Standard Class,4.616,1,0.2,1.731,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,Henry MacAllister,Consumer,35,United States,New York City,New York,10009,East
TB-21520,OFF-PA-10004675,72,CA-2017-114440,2017-09-14,2017-09-17,Second Class,19.05,3,0.0,8.763,Office Supplies,Paper,Telephone Message Books with Fax/Mobile Section  5 1/2 x 3 3/16,Tracy Blumstein,Consumer,48,United States,Philadelphia,Pennsylvania,19140,East
JE-15745,FUR-CH-10000513,73,US-2015-134026,2015-04-26,2015-05-02,Standard Class,831.936,8,0.2,-114.3912,Furniture,Chairs,High-Back Leather Managers Chair,Joel Eaton,Consumer,25,United States,Memphis,Tennessee,38109,South
JE-15745,FUR-FU-10003708,74,US-2015-134026,2015-04-26,2015-05-02,Standard Class,97.04,2,0.2,1.213,Furniture,Furnishings,Tenex Traditional Chairmats for Medium Pile Carpet  Standard Lip  36 x 48,Joel Eaton,Consumer,25,United States,Memphis,Tennessee,38109,South
JE-15745,OFF-ST-10004123,75,US-2015-134026,2015-04-26,2015-05-02,Standard Class,72.784,1,0.2,-18.196,Office Supplies,Storage,Safco Industrial Wire Shelving System,Joel Eaton,Consumer,25,United States,Memphis,Tennessee,38109,South
KB-16600,OFF-BI-10004182,76,US-2017-118038,2017-12-09,2017-12-11,First Class,1.248,3,0.8,-1.9344,Office Supplies,Binders,Economy Binders,Ken Brennan,Corporate,29,United States,Houston,Texas,77041,Central
KB-16600,FUR-FU-10000260,77,US-2017-118038,2017-12-09,2017-12-11,First Class,9.708,3,0.6,-5.8248,Furniture,Furnishings,6 Cubicle Wall Clock  Black,Ken Brennan,Corporate,29,United States,Houston,Texas,77041,Central
KB-16600,OFF-ST-10000615,78,US-2017-118038,2017-12-09,2017-12-11,First Class,27.24,3,0.2,2.724,Office Supplies,Storage,SimpliFile Personal File  Black Granite  15w x 6-15/16d x 11-1/4h,Ken Brennan,Corporate,29,United States,Houston,Texas,77041,Central
JE-15745,FUR-FU-10003194,79,US-2014-147606,2014-11-26,2014-12-01,Second Class,19.3,5,0.6,-14.475,Furniture,Furnishings,Eldon Expressions Desk Accessory  Wood Pencil Holder  Oak,Joel Eaton,Consumer,25,United States,Memphis,Tennessee,38109,South
SC-20770,OFF-AP-10002118,80,CA-2016-127208,2016-06-12,2016-06-15,First Class,208.16,1,0.0,56.2032,Office Supplies,Appliances,1.7 Cubic Foot Compact Cube Office Refrigerators,Stewart Carmichael,Corporate,18,United States,Decatur,Alabama,35601,South
SC-20770,OFF-BI-10002309,81,CA-2016-127208,2016-06-12,2016-06-15,First Class,16.74,3,0.0,8.0352,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,Stewart Carmichael,Corporate,18,United States,Decatur,Alabama,35601,South
DN-13690,OFF-AR-10002053,82,CA-2014-139451,2014-10-12,2014-10-16,Standard Class,14.9,5,0.0,4.172,Office Supplies,Art,Premium Writing Pencils  Soft  #2 by Central Association for the Blind,Duane Noonan,Consumer,42,United States,San Francisco,California,94122,West
DN-13690,OFF-ST-10002370,83,CA-2014-139451,2014-10-12,2014-10-16,Standard Class,21.39,1,0.0,6.2031,Office Supplies,Storage,Sortfiler Multipurpose Personal File Organizer  Black,Duane Noonan,Consumer,42,United States,San Francisco,California,94122,West
JC-16105,OFF-EN-10000927,84,CA-2015-149734,2015-09-03,2015-09-08,Standard Class,200.984,7,0.2,62.8075,Office Supplies,Envelopes,Jet-Pak Recycled Peel N Seal Padded Mailers,Julie Creighton,Corporate,56,United States,Durham,North Carolina,27707,South
CS-12400,OFF-ST-10003656,85,US-2017-119662,2017-11-13,2017-11-16,First Class,230.376,3,0.2,-48.9549,Office Supplies,Storage,Safco Industrial Wire Shelving,Christopher Schild,Home Office,33,United States,Chicago,Illinois,60623,Central
PO-18865,FUR-CH-10000863,86,CA-2017-140088,2017-05-28,2017-05-30,Second Class,301.96,2,0.0,33.2156,Furniture,Chairs,Novimex Swivel Fabric Task Chair,Patrick O'Donnell,Consumer,64,United States,Westland,Michigan,48185,Central
PG-18895,TEC-AC-10001998,87,CA-2017-155558,2017-10-26,2017-11-02,Standard Class,19.99,1,0.0,6.7966,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,Paul Gonzalez,Consumer,64,United States,Rochester,Minnesota,55901,Central
PG-18895,OFF-LA-10000134,88,CA-2017-155558,2017-10-26,2017-11-02,Standard Class,6.16,2,0.0,2.9568,Office Supplies,Labels,Avery 511,Paul Gonzalez,Consumer,64,United States,Rochester,Minnesota,55901,Central
GM-14455,OFF-ST-10003442,89,CA-2016-159695,2016-04-05,2016-04-10,Second Class,158.368,7,0.2,13.8572,Office Supplies,Storage,Eldon Portable Mobile Manager,Gary Mitchum,Home Office,64,United States,Houston,Texas,77095,Central
JS-15685,OFF-AR-10004930,90,CA-2016-109806,2016-09-17,2016-09-22,Standard Class,20.1,3,0.0,6.633,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,Jim Sink,Corporate,33,United States,Los Angeles,California,90036,West
JS-15685,TEC-PH-10004093,91,CA-2016-109806,2016-09-17,2016-09-22,Standard Class,73.584,2,0.2,8.2782,Technology,Phones,Panasonic Kx-TS550,Jim Sink,Corporate,33,United States,Los Angeles,California,90036,West
JS-15685,OFF-PA-10000304,92,CA-2016-109806,2016-09-17,2016-09-22,Standard Class,6.48,1,0.0,3.1104,Office Supplies,Paper,Xerox 1995,Jim Sink,Corporate,33,United States,Los Angeles,California,90036,West
KB-16315,OFF-PA-10003177,93,CA-2015-149587,2015-01-31,2015-02-05,Second Class,12.96,2,0.0,6.2208,Office Supplies,Paper,Xerox 1999,Karl Braun,Consumer,70,United States,Minneapolis,Minnesota,55407,Central
KB-16315,FUR-FU-10003799,94,CA-2015-149587,2015-01-31,2015-02-05,Second Class,53.34,3,0.0,16.5354,Furniture,Furnishings,Seth Thomas 13 1/2 Wall Clock,Karl Braun,Consumer,70,United States,Minneapolis,Minnesota,55407,Central
KB-16315,OFF-BI-10002852,95,CA-2015-149587,2015-01-31,2015-02-05,Second Class,32.96,2,0.0,16.1504,Office Supplies,Binders,Ibico Standard Transparent Covers,Karl Braun,Consumer,70,United States,Minneapolis,Minnesota,55407,Central
RB-19705,OFF-BI-10004738,96,US-2017-109484,2017-11-06,2017-11-12,Standard Class,5.682,1,0.7,-3.788,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,Roger Barcio,Home Office,63,United States,Portland,Oregon,97206,West
PN-18775,FUR-FU-10000629,97,CA-2017-161018,2017-11-09,2017-11-11,Second Class,96.53,7,0.0,40.5426,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,Parhena Norris,Home Office,35,United States,New York City,New York,10009,East
KD-16345,OFF-BI-10001721,98,CA-2017-157833,2017-06-17,2017-06-20,First Class,51.312,3,0.2,17.9592,Office Supplies,Binders,Trimflex Flexible Post Binders,Katherine Ducich,Consumer,33,United States,San Francisco,California,94122,West
ER-13855,OFF-AP-10000358,99,CA-2016-149223,2016-09-06,2016-09-11,Standard Class,77.88,6,0.0,22.5852,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,Elpida Rittenbach,Corporate,56,United States,Saint Paul,Minnesota,55106,Central
RB-19465,OFF-PA-10003256,100,CA-2016-158568,2016-08-29,2016-09-02,Standard Class,64.624,7,0.2,22.6184,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,Rick Bensley,Home Office,18,United States,Chicago,Illinois,60610,Central
RB-19465,TEC-AC-10001767,101,CA-2016-158568,2016-08-29,2016-09-02,Standard Class,95.976,3,0.2,-10.7973,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,Rick Bensley,Home Office,18,United States,Chicago,Illinois,60610,Central
RB-19465,OFF-BI-10002609,102,CA-2016-158568,2016-08-29,2016-09-02,Standard Class,1.788,3,0.8,-3.0396,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,Rick Bensley,Home Office,18,United States,Chicago,Illinois,60610,Central
GZ-14470,OFF-PA-10004040,103,CA-2016-129903,2016-12-01,2016-12-04,Second Class,23.92,4,0.0,11.7208,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),Gary Zandusky,Consumer,64,United States,Rochester,Minnesota,55901,Central
LC-16870,TEC-AC-10001552,104,US-2015-156867,2015-11-13,2015-11-17,Standard Class,238.896,6,0.2,-26.8758,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,Lena Cacioppo,Consumer,63,United States,Aurora,Colorado,80013,West
LC-16870,FUR-FU-10004006,105,US-2015-156867,2015-11-13,2015-11-17,Standard Class,102.36,3,0.2,-3.8385,Furniture,Furnishings,Deflect-o DuraMat Lighweight  Studded  Beveled Mat for Low Pile Carpeting,Lena Cacioppo,Consumer,63,United States,Aurora,Colorado,80013,West
LC-16870,OFF-BI-10002794,106,US-2015-156867,2015-11-13,2015-11-17,Standard Class,36.882,3,0.7,-25.8174,Office Supplies,Binders,Avery Trapezoid Ring Binder  3 Capacity  Black  1040 sheets,Lena Cacioppo,Consumer,63,United States,Aurora,Colorado,80013,West
